poll_id,pollster_id,pollster,sponsor_ids,sponsors,numeric_grade,pollscore,methodology,transparency_score,start_date,end_date,question_id,sample_size,population,url,source,internal,partisan,Harris,Trump
87958,1889,Outward Intelligence,NA,NA,NA,NA,Online Panel,4,8/25/24,8/29/24,207435,2191,lv,https://www.outwardintelligence.com/pulse/harris-leads-by-5,NA,NA,NA,52.6,47.4
87958,1889,Outward Intelligence,NA,NA,NA,NA,Online Panel,4,8/25/24,8/29/24,207436,2191,lv,https://www.outwardintelligence.com/pulse/harris-leads-by-5,NA,NA,NA,49.5,44.3
87969,1554,RMG Research,2178,Napolitan News Service,2.3,-0.4,Online Panel,5,8/26/24,8/28/24,207497,2441,lv,https://napolitaninstitute.org/2024/08/30/harris-leads-trump-50-to-47/,NA,NA,NA,51,48
87945,458,Suffolk,135,USA Today,2.9,-1,Live Phone,8,8/25/24,8/28/24,207330,1000,lv,https://www.usatoday.com/story/news/politics/elections/2024/08/29/kamala-harris-donald-trump-suffolk-usa-today-poll-results/74984967007/,NA,NA,NA,47.6,43.3
87950,1822,Fabrizio/GBAO,276,Wall Street Journal,NA,NA,Live Phone/Text-to-Web,6,8/24/24,8/28/24,207437,1500,rv,https://www.wsj.com/politics/elections/trump-harris-poll-august-election-2024-e6fa024e,NA,NA,NA,47,45
87950,1822,Fabrizio/GBAO,276,Wall Street Journal,NA,NA,Live Phone/Text-to-Web,6,8/24/24,8/28/24,207438,1500,rv,https://www.wsj.com/politics/elections/trump-harris-poll-august-election-2024-e6fa024e,NA,NA,NA,48,47
87929,1709,Big Village,NA,NA,1.6,0.3,Online Panel,9,8/23/24,8/28/24,207237,2020,a,https://survey.mrxsurveys.com/orc/pollingresults/Big-Village-Political-Poll-08.28.24.pdf,NA,FALSE,NA,42.2,37
87929,1709,Big Village,NA,NA,1.6,0.3,Online Panel,9,8/23/24,8/28/24,207238,1681,rv,https://survey.mrxsurveys.com/orc/pollingresults/Big-Village-Political-Poll-08.28.24.pdf,NA,FALSE,NA,45.3,40.4
87929,1709,Big Village,NA,NA,1.6,0.3,Online Panel,9,8/23/24,8/28/24,207239,1511,lv,https://survey.mrxsurveys.com/orc/pollingresults/Big-Village-Political-Poll-08.28.24.pdf,NA,FALSE,NA,47.9,41.3
87929,1709,Big Village,NA,NA,1.6,0.3,Online Panel,9,8/23/24,8/28/24,207240,2020,a,https://survey.mrxsurveys.com/orc/pollingresults/Big-Village-Political-Poll-08.28.24.pdf,NA,FALSE,NA,45.1,39.4
87929,1709,Big Village,NA,NA,1.6,0.3,Online Panel,9,8/23/24,8/28/24,207241,1681,rv,https://survey.mrxsurveys.com/orc/pollingresults/Big-Village-Political-Poll-08.28.24.pdf,NA,FALSE,NA,48.4,42.4
87929,1709,Big Village,NA,NA,1.6,0.3,Online Panel,9,8/23/24,8/28/24,207242,1511,lv,https://survey.mrxsurveys.com/orc/pollingresults/Big-Village-Political-Poll-08.28.24.pdf,NA,FALSE,NA,50.4,43.2
87982,921,Clarity,NA,NA,1.6,-0.2,Online Panel,1,8/23/24,8/28/24,207557,1238,lv,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/66d20908a1d92939e8f3314a/1725040905143/%5BAll%5D+Clarity+Omnibus+Overview+-+August+2024.pdf,NA,NA,NA,51,45
